date,gross_return,transaction_cost,net_return,turnover,cumulative_gross,cumulative_net,drawdown
2020-07-30,0.0094675818652492,0.0,0.0094675818652492,0.0,0.13270825968541544,0.11776084200346926,-0.00184645765990743
2020-07-31,0.0046474663375187,0.0,0.0046474663375187,0.0,0.13797248319253286,0.12295559789007693,0.0
2020-08-03,0.0031238028062473,0.0,0.0031238028062473,0.0,0.14152728482896193,0.126463489738057,0.0
2020-08-04,-0.0012732581698672,0.0,-0.0012732581698672,0.0,0.140073825887427,0.12502921089669083,-0.0012732581698672307
2020-08-05,-0.0033100311724545,0.0,-0.0033100311724545,0.0,0.13630014598484008,0.12130532913870096,-0.004579074818088835
2020-08-06,-0.0041784777183689,0.0,-0.0041784777183689,0.0,0.13155214114346303,0.11661997980540662,-0.008738418974359563
2020-08-07,-0.0003497104857743,0.0,-0.0003497104857743,0.0,0.1311564254945048,0.11622948608984363,-0.009085073543389388
2020-08-10,0.0004053177690965,0.0,0.0004053177690965,0.0,0.13161490329338554,0.1166819137349453,-0.00868343811603367
2020-08-11,-0.0009259899390547,0.0,-0.0009259899390547,0.0,0.13056703927805158,0.11564787751770234,-0.009601387278756479
2020-08-12,-0.0056348382463326,0.0,-0.0056348382463326,0.0,0.1241964768850845,0.10936138218802571,-0.015182123260833014
2020-08-13,0.0002166074306666,0.0,0.0002166074306666,0.0,0.124439986195507,0.10960167810670218,-0.014968804390877999
2020-08-14,0.0028277354793011,0.0,0.0028277354793011,0.0,0.12761960503881697,0.11273933813977655,-0.012183396730835683
2020-08-17,0.0032508255711525,0.0002222222222222,0.0030286033489302,0.4444444444444444,0.13128529968541014,0.11610938422575301,-0.00919169205804593
2020-08-18,-0.0030587942268029,0.0,-0.0030587942268029,0.0,0.12782493074186552,0.11269543528480286,-0.012222370790247017
2020-08-19,0.002953195810375,0.0,0.002953195810375,0.0,0.13115561860216896,0.11598144278250944,-0.009305270034082547
2020-08-20,0.0033508806576656,0.0,0.0033508806576656,0.0,0.1349459860853528,0.11972096341344307,-0.005985570225788495
2020-08-21,0.001207394528915,0.0,0.001207394528915,0.0,0.13631631365956642,0.12107290837857998,-0.004785402641616421
2020-08-24,-0.0015572356361944,0.0,-0.0015572356361944,0.0,0.13454680140194664,0.1193271336948809,-0.0063351862782836665
2020-08-25,0.0007436805042272,0.0,0.0007436805042272,0.0,0.13539054173928244,0.12015955546206225,-0.005596217128582381
2020-08-26,-0.0011377063544076,0.0,-0.0011377063544076,0.0,0.1340988007052113,0.11888514281786278,-0.0067275566312019475
