date,gross_return,transaction_cost,net_return,turnover,cumulative_gross,cumulative_net,drawdown
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-05,-0.0021576396711701,0.0005,-0.0026576396711701,1.0,-0.0021576396711701,-0.0026576396711701,-0.0026576396711701
2018-04-06,0.0009420855217667,0.0,0.0009420855217667,0.0,-0.0012175868304987,-0.0017180578732596,-0.0017180578732596
2018-04-09,-3.0440145103153542e-05,0.0,-3.0440145103153542e-05,0.0,-0.001247989912082,-0.0017484457204317,-0.0017484457204317
2018-04-10,-0.00673575778404,0.0,-0.00673575778404,0.0,-0.0079753415383573,-0.0084724263976003,-0.0084724263976003
2018-04-11,-0.0046459549072254,0.0,-0.0046459549072254,0.0,-0.0125842433684257,-0.0130790187938277,-0.0130790187938277
2018-04-12,-0.0020925640595118,0.0,-0.0020925640595118,0.0,-0.0146504740925487,-0.0151442141686779,-0.0151442141686779
2018-04-13,0.0023818523384822,0.0,0.0023818523384822,0.0,-0.0123035170200437,-0.0127984331121279,-0.0127984331121279
2018-04-16,0.0003945525918917,0.0,0.0003945525918917,0.0,-0.0119138188126816,-0.0124089301751926,-0.0124089301751926
2018-04-17,-0.0028758522493125,0.0,-0.0028758522493125,0.0,-0.0147554086793637,-0.0152490961747492,-0.0152490961747492
2018-04-18,-0.0025934977281548,0.0,-0.0025934977281548,0.0,-0.0173106382886306,-0.0178030454066184,-0.0178030454066184
2018-04-19,0.0002872531647274,0.0,0.0002872531647274,0.0,-0.0170283576595349,-0.0175209062230257,-0.0175209062230257
2018-04-20,-0.0014833901929877,0.0,-0.0014833901929877,0.0,-0.0184864881537678,-0.01897830607555,-0.01897830607555
2018-04-23,0.0012896228167495,0.0,0.0012896228167495,0.0,-0.0172207059339428,-0.0177131581153388,-0.0177131581153388
2018-04-24,0.0008468406792381,0.0,0.0008468406792381,0.0,-0.0163884484490147,-0.0168813176589505,-0.0168813176589505
2018-04-25,0.0017522540136498,0.0,0.0017522540136498,0.0,-0.0146649111599371,-0.0151586440019242,-0.0151586440019242
2018-04-26,0.0047681864353166,0.0,0.0047681864353166,0.0,-0.0099666497550885,-0.0104627368073153,-0.0104627368073153
2018-04-27,0.0022204521364904,0.0,0.0022204521364904,0.0,-0.0077683280873405,-0.0082655166771223,-0.0082655166771223
2018-04-30,-0.0015647700928925,0.0,-0.0015647700928925,0.0,-0.0093209425327702,-0.0098173531367162,-0.0098173531367162
2018-05-01,-0.0032436498910552,0.0,-0.0032436498910552,0.0,-0.0125343585495946,-0.0130291589713392,-0.0130291589713392
2018-05-02,-0.0039803447411029,0.0,-0.0039803447411029,0.0,-0.0164648122225614,-0.0169576431680495,-0.0169576431680495
2018-05-03,0.0050808638132131,0.0001363636363636,0.0049445001768495,0.2727272727272727,-0.0114676038779613,-0.0120969900608434,-0.0120969900608434
2018-05-04,0.0001943651535164,0.0,0.0001943651535164,0.0,-0.0112754676270329,-0.0119049761406571,-0.0119049761406571
2018-05-07,-0.0049038691027706,0.0,-0.0049038691027706,0.0,-0.016124043312488,-0.0167504647987623,-0.0167504647987623
2018-05-08,-0.0019449142759766,0.0,-0.0019449142759766,0.0,-0.0180375977064397,-0.0186628008566226,-0.0186628008566226
2018-05-09,-0.005277405596066,0.0,-0.005277405596066,0.0,-0.0232198115834302,-0.0238417152830097,-0.0238417152830097
2018-05-10,-0.0060090942473977,0.0,-0.0060090942473977,0.0,-0.0290893757946162,-0.0297075424162521,-0.0297075424162521
2018-05-11,-0.0044499245265373,0.0,-0.0044499245265373,0.0,-0.0334098547943434,-0.0340252706211683,-0.0340252706211683
2018-05-14,-0.0015108476430134,0.0,-0.0015108476430134,0.0,-0.0348702252369874,-0.0354847112642608,-0.0354847112642608
2018-05-15,-0.0004220756624416,0.0,-0.0004220756624416,0.0,-0.0352775830260128,-0.0358918096936891,-0.0358918096936891
2018-05-16,-0.0019661608018788,0.0,-0.0019661608018788,0.0,-0.0371743824269609,-0.0377874014262397,-0.0377874014262397
2018-05-17,-0.0003071874930845,0.0,-0.0003071874930845,0.0,-0.0374701504147007,-0.0380829811022098,-0.0380829811022098
2018-05-18,0.0003409768555722,0.0,0.0003409768555722,0.0,-0.0371419500131947,-0.0377549896617847,-0.0377549896617847
2018-05-21,0.0003124526366724,0.0,0.0003124526366724,0.0,-0.0368411024767351,-0.0374543336711795,-0.0374543336711795
2018-05-22,0.0006674609646111,0.0,0.0006674609646111,0.0,-0.0361982315099204,-0.0368118720122494,-0.0368118720122494
2018-05-23,0.0007226770239261,0.0,0.0007226770239261,0.0,-0.0355017141162132,-0.0361157980824342,-0.0361157980824342
2018-05-24,-0.0004121788247289,0.0,-0.0004121788247289,0.0,-0.0358992598861419,-0.0365130907399554,-0.0365130907399554
2018-05-25,0.0011109746485223,0.0,0.0011109746485223,0.0,-0.0348281684052539,-0.0354426812095844,-0.0354426812095844
2018-05-29,-0.0038628667124609,0.0,-0.0038628667124609,0.0,-0.0385564985453262,-0.0391686375686005,-0.0391686375686005
