universe_name,security_id,ticker,membership_start_date,membership_end_date,as_of_date,source,version,inclusion_reason,exclusion_reason
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ACB,ACB,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ACCL,ACCL,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ACCO,ACCO,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ACDC,ACDC,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ACET,ACET,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ACGL,ACGL,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ACH,ACH,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ACHC,ACHC,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ACHV,ACHV,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ACIC,ACIC,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ACIU,ACIU,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ACIW,ACIW,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ACLS,ACLS,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ACMR,ACMR,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ACNB,ACNB,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ACNT,ACNT,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ACRS,ACRS,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ACRV,ACRV,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ACT,ACT,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ACTG,ACTG,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ADAG,ADAG,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ADAM,ADAM,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ADBE,ADBE,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ADEA,ADEA,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ADI,ADI,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ADIL,ADIL,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ADMA,ADMA,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ADP,ADP,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ADPT,ADPT,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ADSK,ADSK,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ADTN,ADTN,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ADUR,ADUR,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ADUS,ADUS,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:ADV,ADV,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:AEBI,AEBI,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:AEHL,AEHL,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:AEHR,AEHR,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:AEIS,AEIS,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:AEMD,AEMD,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:AEP,AEP,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:AEVA,AEVA,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:AEYE,AEYE,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:AFRM,AFRM,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
US_ALL_COMMON_RESEARCH,CURRENT_LISTED:AFYA,AFYA,2026-06-23,,2026-06-23,YFINANCE_PUBLIC_FALLBACK,universe_foundation_v1_20260623,included_by_config_filters,
