date,gross_return,transaction_cost,net_return,turnover,cumulative_gross,cumulative_net,drawdown
2020-08-14,0.0045040900826493,0.0,0.0045040900826493,0.0,-0.004183860398958461,-0.012664355736541344,-0.022551705211653394
2020-08-17,0.0062138368259406,0.0,0.0062138368259406,0.0,0.0020039786011605276,-0.006529213150653357,-0.016478001002044773
2020-08-18,-0.0103962831578524,0.0,-0.0103962831578524,0.0,-0.008413138485671712,-0.01685761675979358,-0.026702974195604523
2020-08-19,-0.0039794179716212,0.0,-0.0039794179716212,0.0,-0.012359077062805257,-0.020769951228322148,-0.030576129871816016
2020-08-20,0.0005701200796088,0.0,0.0005701200796088,0.0,-0.011796003141195333,-0.020211672514961032,-0.030023441857803812
2020-08-21,-0.0011033588516129,0.0,-0.0011033588516129,0.0,-0.012886346768328782,-0.021292730638798663,-0.03109367407908703
2020-08-24,-0.0037184630591371,0.0009722222222222,-0.0046906852813594,1.944444444444444,-0.016556892423040703,-0.02588353842195068,-0.03563850872110019
2020-08-25,-0.0008307291874792,0.0,-0.0008307291874792,0.0,-0.017373867316730074,-0.026692765398587448,-0.036439631959186536
2020-08-26,-0.0047261090931782,0.0,-0.0047261090931782,0.0,-0.022017865617598997,-0.03129272157049323,-0.04099352337641027
2020-08-27,-0.0016867099048096,0.0,-0.0016867099048096,0.0,-0.0236674377703886,-0.03292664973188142,-0.042611089099307775
2020-08-28,-0.0012502367705828,0.0,-0.0012502367705828,0.0,-0.02488808464000536,-0.03413572039423729,-0.04380805191946402
2020-08-31,0.0034573009409015,0.0,0.0034573009409015,0.0,-0.021516829297546947,-0.030796436911573077,-0.04050220859768272
2020-09-01,0.0002832560300646,0.0,0.0002832560300646,0.0,-0.0212396680391288,-0.030521904157968294,-0.04023042506243446
2020-09-02,0.0006974241256564,0.0,0.0006974241256564,0.0,-0.020557056970383902,-0.029845766744632685,-0.03956105860580206
2020-09-03,0.0024719889060163,0.0,0.0024719889060163,0.0,-0.01813588488113871,-0.027447556242900628,-0.03718686419776951
2020-09-04,-0.0002204316598104,0.0,-0.0002204316598104,0.0,-0.018352318817742685,-0.02766193759233071,-0.037399098695381716
2020-09-08,-0.0060219620331638,0.0,-0.0060219620331638,0.0,-0.02426376388376561,-0.03351732048754985,-0.04319584477612748
2020-09-09,0.0016003342739196,0.0,0.0016003342739196,0.0,-0.022702259742803377,-0.031970625130376296,-0.04166463829309386
2020-09-10,0.0069207349618338,0.0,0.0069207349618338,0.0,-0.015938641103684148,-0.025271150391633856,-0.03503225325016712
2020-09-11,0.004407529592305,0.0,0.004407529592305,0.0,-0.011601361543704836,-0.020975004142511633,-0.030779129350747447
2020-09-14,-0.0006247989554145,0.0,-0.0006247989554145,0.0,-0.012218911980545366,-0.02158669793724799,-0.03138469753829487
2020-09-15,0.001561963547886,0.0,0.001561963547886,0.0,-0.010676033927767725,-0.020058452024659168,-0.029871755743925088
2020-09-16,0.0019767731929584,0.0,0.0019767731929584,0.0,-0.00872036483248495,-0.01812132984195547,-0.027954032236948034
2020-09-17,-0.0007528487474732,0.0,-0.0007528487474732,0.0,-0.00946664846421652,-0.01886053596895454,-0.028685835826264716
2020-09-18,0.0022293924944043,0.0,0.0022293924944043,0.0,-0.007258360844845435,-0.016673191011879807,-0.026520395318947232
2020-09-21,-0.0038055886828301,0.0,-0.0038055886828301,0.0,-0.011036327191788486,-0.020415328387688447,-0.030225058285487272
2020-09-22,0.0002161908335573,0.0,0.0002161908335573,0.0,-0.01082252231100611,-0.020203551160992483,-0.030015401832474975
2020-09-23,0.0020645476923849,0.0,0.0020645476923849,0.0,-0.00878031823208425,-0.01818071466353499,-0.028012822368679302
2020-09-24,-0.0010335812977341,0.0,-0.0010335812977341,0.0,-0.009804824357105502,-0.0191955047146134,-0.02901745013711632
2020-09-25,-0.0042420151161919,0.0,-0.0042420151161919,0.0,-0.014005247260162945,-0.023356092209642965,-0.03313637279119319
2020-09-28,0.0004373130090963,0.0,0.0004373130090963,0.0,-0.01357405892788921,-0.02292899312351171,-0.03271355074899296
2020-09-29,0.0010273845988158,0.0,0.0010273845988158,0.0,-0.012560620108159393,-0.021925165419097392,-0.03171977554838923
2020-09-30,0.0003981773612187,0.0,0.0003981773612187,0.0,-0.012167444101510605,-0.021535718162389528,-0.03133422828369681
2020-10-01,-0.001781373705548,0.0,-0.001781373705548,0.0,-0.013927143042072432,-0.023278728705872886,-0.03305978401889653
2020-10-02,0.0022650050729742,0.0,0.0022650050729742,0.0,-0.01169368301874052,-0.021066450071509868,-0.030869659524436543
2020-10-05,0.0004086460261069,0.0,0.0004086460261069,0.0,-0.011289815569729855,-0.020666412766508935,-0.030473628262021712
2020-10-06,0.0026574348136929,0.0,0.0026574348136929,0.0,-0.008662382704972105,-0.018063897597575873,-0.02789717512897172
2020-10-07,-0.0008461215065907,0.0,-0.0008461215065907,0.0,-0.009501174783257849,-0.018894734851916395,-0.02871969223571269
2020-10-08,8.268498708863866e-05,0.0,8.268498708863866e-05,0.0,-0.009419275400683436,-0.01881361217573496,-0.02863938193600568
2020-10-09,-0.0002407327002076,0.0,-0.0002407327002076,0.0,-0.00965774057328983,-0.01904981582428289,-0.028873220200467564
2020-10-12,-0.0014780220371581,0.0,-0.0014780220371581,0.0,-0.011121488257051393,-0.02049968181384887,-0.030308566981885665
2020-10-13,0.0016200030878642,0.0,0.0016200030878642,0.0,-0.009519502014505354,-0.018912888273823425,-0.028737663866120977
2020-10-14,0.0022985590119474,0.0,0.0022985590119474,0.0,-0.007242824139702786,-0.016657801651659865,-0.026505160070435463
2020-10-15,0.0014747579293486,0.0,0.0014747579293486,0.0,-0.005778747622685154,-0.015207609947382572,-0.025069490836069352
2020-10-16,-0.0014025652224015,0.0,-0.0014025652224015,0.0,-0.007173207774642032,-0.016588845504955985,-0.026436894462480875
2020-10-19,-0.0002424900407044,0.0,-0.0002424900407044,0.0,-0.007413958383901242,-0.01682731291583872,-0.02667297381957101
2020-10-20,-0.0031434999833825,0.0,-0.0031434999833825,0.0,-0.010534152589227186,-0.019917916241349864,-0.02973262731019488
2020-10-21,0.001141107491382,0.0,0.001141107491382,0.0,-0.009405065698280035,-0.01879953723340355,-0.028625447942574933
2020-10-22,-0.0049806474806154,0.0,-0.0049806474806154,0.0,-0.014338869862120296,-0.0236865508462607,-0.033463522158013737
